[ 1.]
[ 0.98880014]
[ 0.95579666]
[ 0.90273622]
[ 0.8323944]
[ 0.74838358]
[ 0.65490508]
[ 0.55646478]
[ 0.45757406]
[ 0.36245858]
[ 0.27479681]
[ 0.19750728]
[ 0.13259953]
[ 0.08109828]
[ 0.04304441]
[ 0.01757006]
[ 0.00303938]
[ 0.00275881]
[ 0.00238381]
[ 0.00149884]
[ 0.00635347]
[ 0.00998524]
[ 0.01070934]
[ 0.00746563]
[ 0.0001288]
[ 0.01179132]
[ 0.02664625]
[ 0.04334932]
[ 0.06025137]
[ 0.07558495]
[ 0.08765642]
[ 0.09502558]
[ 0.09665671]
[ 0.09202779]
[ 0.08118846]
[ 0.06476242]
[ 0.04389476]
[ 0.02014979]
[ 0.00463053]
[ 0.02849434]
[ 0.04955801]
[ 0.06617842]
[ 0.07710361]
[ 0.08158811]
[ 0.07946286]
[ 0.0711532]
[ 0.05764368]
[ 0.04039283]
[ 0.02120552]
[ 0.0020744]
[ 0.01499556]
[ 0.028164]
[ 0.03591798]
[ 0.03720656]
[ 0.03153543]
[ 0.01901361]
[ 0.00034832]
[ 0.0232113]
[ 0.04997653]
[ 0.07795842]
[ 0.10503207]
[ 0.12911161]
[ 0.14832106]
[ 0.1611466]
[ 0.16655767]
[ 0.16408702]
[ 0.15386368]
[ 0.1365966]
[ 0.11351124]
[ 0.08624518]
[ 0.05671217]
[ 0.02694657]
[ 0.0010584]
[ 0.02550508]
[ 0.04492586]
[ 0.05828699]
[ 0.06505408]
[ 0.06521489]
[ 0.05925902]
[ 0.04811746]
[ 0.03306868]
[ 0.01562018]
[ 0.00262346]
[ 0.02009443]
[ 0.035386]
[ 0.04735724]
[ 0.05521006]
[ 0.05853332]
[ 0.05731188]
[ 0.05190156]
[ 0.04297408]
[ 0.03143836]
[ 0.01834651]
[ 0.00479377]
[ 0.00817834]
[ 0.01966704]
[ 0.02897456]
[ 0.03565078]
[ 0.03950976]
[ 0.04062061]
[ 0.03927515]
[ 0.03593736]
[ 0.03118072]
[ 0.0256208]
[ 0.01985007]
[ 0.0143817]
[ 0.00960748]
[ 0.00577337]
[ 0.002974]
[ 0.00116544]
[ 0.00019342]
[ 0.00016749]
[ 0.00016912]
[  4.53779872e-05]
[  2.57831007e-05]
[  5.06270481e-05]
[ 0.00027427]
[ 0.00055334]
[ 0.00072429]
[ 0.00058509]
[  6.20506843e-05]
[ 0.00136408]
[ 0.00337259]
[ 0.00600775]
[ 0.00903622]
[ 0.01206721]
[ 0.01456929]
[ 0.01590787]
[ 0.0154015]
[ 0.01239233]
[ 0.00632469]
[ 0.00317611]
[ 0.01623283]
[ 0.03266141]
[ 0.05193935]
[ 0.07320248]
[ 0.09527332]
[ 0.11672099]
[ 0.13594985]
[ 0.15131116]
[ 0.16122943]
[ 0.16433348]
[ 0.15958089]
[ 0.14636492]
[ 0.12459349]
[ 0.09473202]
[ 0.05780467]
[ 0.01535169]
[ 0.03065551]
[ 0.07793639]
[ 0.12405196]
[ 0.16657274]
[ 0.20325096]
[ 0.23218326]
[ 0.25195029]
[ 0.26172169]
[ 0.26131708]
[ 0.25121749]
[ 0.23252569]
[ 0.20687804]
[ 0.17631453]
[ 0.14311763]
[ 0.10963286]
[ 0.07808594]
[ 0.05041179]
[ 0.02810961]
[ 0.01213625]
[ 0.00284675]
[  1.28589503e-05]
[ 0.00273975]
[ 0.009817]
[ 0.01959533]
[ 0.03027735]
[ 0.04006773]
[ 0.0473473]
[ 0.05082958]
[ 0.04968582]
[ 0.04362708]
[ 0.03293578]
[ 0.01844362]
[ 0.00145756]
[ 0.01635985]
[ 0.03314524]
[ 0.04701052]
[ 0.05622453]
[ 0.05938365]
[ 0.05555585]
[ 0.04438449]
[ 0.02614194]
[ 0.00172742]
[ 0.02739184]
[ 0.05929164]
[ 0.09174495]
[ 0.12240625]
[ 0.14900979]
[ 0.16956466]
[ 0.18252882]
[ 0.18694656]
[ 0.1825363]
[ 0.16972009]
[ 0.14959117]
