[ 1.]
[ 0.99500833]
[ 0.98013298]
[ 0.95567096]
[ 0.92211071]
[ 0.8801223]
[ 0.83054411]
[ 0.77436604]
[ 0.7127098]
[ 0.64680644]
[ 0.57797185]
[ 0.50758041]
[ 0.43703762]
[ 0.36775198]
[ 0.3011069]
[ 0.23843305]
[ 0.18098183]
[ 0.12990035]
[ 0.08620853]
[ 0.05077875]
[ 0.02431844]
[ 0.00735591]
[ 0.00022985]
[ 0.00308255]
[ 0.01585704]
[ 0.03829827]
[ 0.06995815]
[ 0.11020454]
[ 0.15823386]
[ 0.21308712]
[ 0.27366907]
[ 0.33877011]
[ 0.40709037]
[ 0.47726573]
[ 0.54789502]
[ 0.617568]
[ 0.68489354]
[ 0.74852737]
[ 0.80719893]
[ 0.85973674]
[ 0.9050918]
[ 0.94235852]
[ 0.97079281]
[ 0.98982692]
[ 0.99908081]
[ 0.99836971]
[ 0.98770781]
[ 0.96730801]
[ 0.93757761]
[ 0.89911024]
[ 0.85267395]
[ 0.79919594]
[ 0.73974397]
[ 0.67550511]
[ 0.60776199]
[ 0.53786723]
[ 0.46721638]
[ 0.39722011]
[ 0.32927601]
[ 0.26474071]
[ 0.20490276]
[ 0.15095692]
[ 0.10398031]
[ 0.06491091]
[ 0.0345288]
[ 0.0134406]
[ 0.00206739]
[ 0.00063624]
[ 0.00917573]
[ 0.02751536]
[ 0.05528894]
[ 0.09194193]
[ 0.13674248]
[ 0.18879609]
[ 0.24706341]
[ 0.31038103]
[ 0.37748472]
[ 0.44703463]
[ 0.51764209]
[ 0.58789729]
[ 0.65639747]
[ 0.72177491]
[ 0.78272425]
[ 0.83802851]
[ 0.88658347]
[ 0.92741963]
[ 0.95972164]
[ 0.98284453]
[ 0.99632661]
[ 0.9998987]
[ 0.99348946]
[ 0.97722687]
[ 0.95143564]
[ 0.91663074]
[ 0.8735071]
[ 0.82292576]
[ 0.76589666]
[ 0.70355849]
[ 0.63715593]
[ 0.56801481]
[ 0.49751567]
[ 0.42706613]
[ 0.35807284]
[ 0.29191336]
[ 0.22990869]
[ 0.17329684]
[ 0.12320818]
[ 0.08064279]
[ 0.04645059]
[ 0.02131426]
[ 0.00573571]
[  2.59726890e-05]
[ 0.00429906]
[ 0.01846966]
[ 0.04225482]
[ 0.07517964]
[ 0.11658672]
[ 0.16564929]
[ 0.22138773]
[ 0.28268914]
[ 0.34832953]
[ 0.41699828]
[ 0.48732429]
[ 0.5579034]
[ 0.62732637]
[ 0.69420705]
[ 0.75721006]
[ 0.81507743]
[ 0.86665376]
[ 0.91090922]
[ 0.94696019]
[ 0.97408684]
[ 0.99174754]
[ 0.99958968]
[ 0.99745666]
[ 0.98539109]
[ 0.96363385]
[ 0.93261939]
[ 0.89296695]
[ 0.84546826]
[ 0.79107171]
[ 0.73086343]
[ 0.66604557]
[ 0.59791232]
[ 0.52782409]
[ 0.45718031]
[ 0.3873915]
[ 0.3198511]
[ 0.25590768]
[ 0.19683797]
[ 0.14382141]
[ 0.09791656]
[ 0.06003998]
[ 0.03094794]
[ 0.01122132]
[ 0.00125399]
[ 0.00124497]
[ 0.01119444]
[ 0.03090373]
[ 0.05997933]
[ 0.09784068]
[ 0.14373181]
[ 0.19673645]
[ 0.25579625]
[ 0.319732]
[ 0.3872671]
[ 0.4570531]
[ 0.52769661]
[ 0.59778711]
[ 0.66592513]
[ 0.73075017]
[ 0.79096789]
[ 0.84537595]
[ 0.89288799]
[ 0.93255536]
[ 0.96358604]
[ 0.98536043]
[ 0.99744379]
[ 0.99959483]
[ 0.99177063]
[ 0.97412739]
[ 0.9470174]
[ 0.91098195]
[ 0.86674056]
[ 0.81517656]
[ 0.75731954]
[ 0.6943247]
[ 0.62744983]
[ 0.55803022]
[ 0.48745193]
[ 0.41712419]
[ 0.3484512]
[ 0.28280414]
[ 0.22149376]
[ 0.16574423]
[ 0.11666868]
[ 0.07524699]
[ 0.04230621]
[ 0.01850406]
[ 0.00431579]
[  2.46876034e-05]
